external_id,type,quantity,internal_notes,price,info,winery_name,name,vintage,size,storage_area
v.44105.2003.b,RED,4,Purchase Price: 9,45.0,,Le Vigne di Zamò, Schioppettino,2003,BOTTLE,
v.44105.2006.b,RED,3,Purchase Price: 9,45.0,,Le Vigne di Zamò, Schioppettino,2006,BOTTLE,
v.44108.2000.b,RED,1,Purchase Price: 10,50.0,,Le Vigne di Zamò, Tazzelenghe,2000,BOTTLE,
v.83959.2003.b,RED,2,Purchase Price: 14,65.0,,Leo Hillinger, Blaufränkisch,2003,BOTTLE,
v.19508.2001.b,RED,1,Purchase Price: 28,80.0,,Léon Barral, Faugères,2001,BOTTLE,
v.32370.1999.b,WHITE,1,Purchase Price: 28,110.0,,Léon Beyer, Gewürztraminer,1999,BOTTLE,
v.83834.2018.b,RED,1,Purchase Price: 9,40.0,,Leonardo Bagella, Cannonau di Sardegna 1 Sorso,2018,BOTTLE,
v.7107.2000.b,Rosato,1,Purchase Price: 12,55.0,,Leone De Castris 1665, Five Roses,2000,BOTTLE,
v.7107.2005.b,Rosato,3,Purchase Price: 10,48.0,,Leone De Castris 1665, Five Roses,2005,BOTTLE,
v.10715.1999.b,RED,1,Purchase Price: 16,70.0,,Leone De Castris 1665, Primitivo di Manduria Villa Santera,1999,BOTTLE,
v.8635.2001.b,RED,2,Purchase Price: 12,50.0,,Leone De Castris 1665, Salice Salentino Riserva Donna Lisa,2001,BOTTLE,
v.5966.1998.b,RED,1,Purchase Price: 17,70.0,,Leone De Castris 1665, Salice Salentino Riserva,1998,BOTTLE,
v.9426.1967.b,RED,1,Purchase Price: 600,2500.0,Domaine,Leroy , Corton-Renardes Grand Cru,1967,BOTTLE,
v.8139.2007.b,RED,12,Purchase Price: 50,200.0,Maison,Leroy , Bourgogne Rouge,2007,BOTTLE,
v.84735.1967.b,RED,1,Purchase Price: 1200,4000.0,Maison,Leroy , Charmes-Chambertin Grand Cru,1967,BOTTLE,
v.84694.1957.b,RED,1,Purchase Price: 420,1500.0,Maison,Leroy , Nuits-Saint-Georges Les Porets 1er Cru,1957,BOTTLE,
v.19489.2015.b,RED,3,Purchase Price: 9,45.0,,Les Vins Pirouettes, Pinot noir de Hubert & Christian,2015,BOTTLE,
v.58615.2022.b,WHITE,3,Purchase Price: 15,42.0,,Leya, Terlano Classico Pinot bianco,2022,BOTTLE,
v.83833.2014.b,Rosato,2,Purchase Price: 9,40.0,,Librandi, Cirò Rosato,2014,BOTTLE,
v.7901.2014.b,WHITE,4,Purchase Price: 9,40.0,,Librandi, Efeso,2014,BOTTLE,
v.6233.2011.b,RED,1,Purchase Price: 10,50.0,,Librandi, Gravello,2011,BOTTLE,
v.47887.2011.b,RED,3,Purchase Price: 10,45.0,,Lieselehof, Amadeus,2011,BOTTLE,
v.47887.2012.b,RED,1,Purchase Price: 10,45.0,,Lieselehof, Amadeus,2012,BOTTLE,
v.4816.2007.b,WHITE,1,Purchase Price: 10,50.0,,Lis Neris, Chardonnay Jurosa,2007,BOTTLE,
v.3106.2014.b,WHITE,1,Purchase Price: 8,45.0,,Lis Neris, Pinot grigio,2014,BOTTLE,
v.7188.2014.b,WHITE,1,Purchase Price: 10,50.0,,Livio Felluga, Abbazia di Rosazzo,2014,BOTTLE,
v.7188.2018.c,WHITE,1,Purchase Price: 20,100.0,,Livio Felluga, Abbazia di Rosazzo,2018,MAGNUM,
v.4798.2007.b,WHITE,4,Purchase Price: 16,50.0,,Livio Felluga, Illivio,2007,BOTTLE,
v.5358.2005.b,RED,1,Purchase Price: 10,60.0,,Livio Felluga, Refosco dal peduncolo rosso,2005,BOTTLE,
v.5358.2006.b,RED,1,Purchase Price: 10,60.0,,Livio Felluga, Refosco dal peduncolo rosso,2006,BOTTLE,
v.5358.2014.b,RED,2,Purchase Price: 11,52.0,,Livio Felluga, Refosco dal peduncolo rosso,2014,BOTTLE,
v.6727.2000.b,RED,2,Purchase Price: 24,85.0,,Livio Felluga, Sossò Riserva,2000,BOTTLE,
v.6727.2004.b,RED,5,Purchase Price: 14,72.0,,Livio Felluga, Sossò Riserva,2004,BOTTLE,
v.6727.2007.b,RED,2,Purchase Price: 12,67.0,,Livio Felluga, Sossò Riserva,2007,BOTTLE,
v.1165.1996.b,WHITE,1,Purchase Price: 20,90.0,,Livio Felluga, Terre Alte,1996,BOTTLE,
v.1165.2001.b,WHITE,3,Purchase Price: 18,82.0,,Livio Felluga, Terre Alte,2001,BOTTLE,
v.1165.2007.b,WHITE,1,Purchase Price: 10,60.0,,Livio Felluga, Terre Alte,2007,BOTTLE,
v.1165.2008.b,WHITE,4,Purchase Price: 14,72.0,,Livio Felluga, Terre Alte,2008,BOTTLE,
v.1165.2010.b,WHITE,3,Purchase Price: 14,70.0,,Livio Felluga, Terre Alte,2010,BOTTLE,
v.1165.2011.c,WHITE,1,Purchase Price: 25,125.0,,Livio Felluga, Terre Alte,2011,MAGNUM,
v.1165.2015.b,WHITE,1,Purchase Price: 12,62.0,,Livio Felluga, Terre Alte,2015,BOTTLE,
v.8950.1999.b,WHITE,1,Purchase Price: 13,85.0,,Livon, Braide Alte,1999,BOTTLE,
v.8950.2007.b,WHITE,1,Purchase Price: 14,70.0,,Livon, Braide Alte,2007,BOTTLE,
v.58645.2003.b,RED,2,Purchase Price: 10,50.0,,Livon, Colli Orientali del Friuli Refosco dal peduncolo rosso,2003,BOTTLE,
v.44330.1997.b,RED,1,Purchase Price: 10,70.0,,Livon, Collio Cabernet franc Arborizza,1997,BOTTLE,
v.44326.2006.b,RED,1,Purchase Price: 7,50.0,,Livon, Schioppettino Picotis,2006,BOTTLE,
v.6330.2006.b,RED,3,Purchase Price: 12,55.0,,Livon, TiareBlù,2006,BOTTLE,
v.46373.2017.b,WHITE,3,Purchase Price: 8,40.0,,Lo Triolet, Pinot gris,2017,BOTTLE,
v.83029.2013.b,WHITE,2,Purchase Price: 10,45.0,,Longariva, Pinot bianco Pergole,2013,BOTTLE,
v.203.2013.b,RED,2,Purchase Price: 22,95.0,,Loredan Gasparini - Venegazzù, Capo di Stato,2013,BOTTLE,
v.4270.2007.b,WHITE,1,Purchase Price: 30,150.0,,Louis Carillon et Fils, Puligny-Montrachet Les Champs Canet 1er Cru,2007,BOTTLE,
v.5960.2021.b,RED,4,Purchase Price: 19,70.0,,Louis Jadot, Bourgogne Pinot noir,2021,BOTTLE,
v.32514.1993.b,RED,1,Purchase Price: 48,180.0,,Louis Jadot, Chambolle-Musigny,1993,BOTTLE,
v.32486.1998.b,RED,1,Purchase Price: 42,170.0,,Louis Jadot, Corton Pougets Grand Cru,1998,BOTTLE,
v.32471.1999.b,WHITE,2,Purchase Price: 50,170.0,,Louis Jadot, Meursault Blagny 1er Cru,1999,BOTTLE,
v.32475.2001.b,WHITE,1,Purchase Price: 320,1320.0,,Louis Jadot, Montrachet Grand Cru,2001,BOTTLE,
v.32478.1998.b,WHITE,2,Purchase Price: 24,90.0,,Louis Jadot, Pouilly-Fuissé,1998,BOTTLE,
v.32505.2000.b,RED,1,Purchase Price: 42,150.0,,Louis Jadot, Vosne-Romanée,2000,BOTTLE,
v.32772.1998.b,WHITE,1,Purchase Price: 50,200.0,,Louis Latour, Corton-Charlemagne Grand Cru,1998,BOTTLE,
v.4985.2007.b,RED,2,Purchase Price: 15,70.0,,Luigi Tecce, Taurasi Poliphemo Vecchie Vigne,2007,BOTTLE,
v.11430.2007.b,RED,1,Purchase Price: 12,60.0,,Lunelli - Tenuta Margon, Pinot nero Maso Montalto,2007,BOTTLE,
v.11430.2010.b,RED,2,Purchase Price: 11,55.0,,Lunelli - Tenuta Margon, Pinot nero Maso Montalto,2010,BOTTLE,
v.944.1992.b,RED,1,Purchase Price: 12,80.0,,Lungarotti, Torgiano Rosso Riserva Rubesco,1992,BOTTLE,
v.191.2000.b,RED,1,Purchase Price: 35,130.0,,Maculan, Fratta,2000,BOTTLE,
v.191.2005.b,RED,2,Purchase Price: 30,110.0,,Maculan, Fratta,2005,BOTTLE,
v.43347.2014.b,RED,9,Purchase Price: 14,60.0,,Magis, Colli Orientali del Friuli Nero Magis,2014,BOTTLE,
v.9187.2015.c,WHITE,1,Purchase Price: 20,70.0,,Magnás, Malvasia Istriana,2015,MAGNUM,
v.15072.2000.b,WHITE,2,Purchase Price: 24,100.0,,Maison Valette, Mâcon-Chaintré Vieilles Vignes,2000,BOTTLE,
v.15072.2004.b,WHITE,1,Purchase Price: 20,80.0,,Maison Valette, Mâcon-Chaintré Vieilles Vignes,2004,BOTTLE,
v.13630.2015.b,WHITE,1,Purchase Price: 16,45.0,,Maixei, Riviera Ligure di Ponente Vermentino,2015,BOTTLE,
v.62370.2009.b,RED,1,Purchase Price: 13,65.0,,Mancini, Colli Pesaresi Pinot noir Focara Rive,2009,BOTTLE,
v.62370.2011.b,RED,3,Purchase Price: 12,60.0,,Mancini, Colli Pesaresi Pinot noir Focara Rive,2011,BOTTLE,
v.49837.2010.b,RED,4,Purchase Price: 9,45.0,,Mancini, Colli Pesaresi Pinot noir Focara,2010,BOTTLE,
v.62545.2010.b,RED,2,Purchase Price: 9,45.0,,Mancini, Sangiovese Rive,2010,BOTTLE,
v.1128.2010.b,RED,1,Purchase Price: 14,65.0,,Manincor, Pinot nero Mason di Mason,2010,BOTTLE,
v.14735.2009.b,WHITE,2,Purchase Price: 16,70.0,,Manincor, Sauvignon blanc Lieben Aich,2009,BOTTLE,
v.7296.2011.b,WHITE,2,Purchase Price: 15,60.0,,Marcel Deiss, Alsace Blanc,2011,BOTTLE,
v.9607.2001.b,RED,3,Purchase Price: 14,70.0,,Marcel Deiss, Burlenberg La Colline Brûlée,2001,BOTTLE,
v.1650.2001.b,WHITE,2,Purchase Price: 20,95.0,,Marcel Deiss, Engelgarten Le Jardin des Anges 1er Cru,2001,BOTTLE,
v.79356.2000.b,WHITE,2,Purchase Price: 10,75.0,,Marcel Deiss, Gewürztraminer Saint-Hippolyte,2000,BOTTLE,
v.83956.1994.b,WHITE,2,Purchase Price: 18,100.0,,Marcel Deiss, Pinot gris Bergheim Vendanges Tardives,1994,BOTTLE,
v.12163.2013.b,RED,2,Purchase Price: 10,55.0,,Marcel et Mathieu Lapierre, Beaujolais-Villages Château Cambon,2013,BOTTLE,
v.230.1996.b,RED,2,Purchase Price: 22,130.0,,Marchesi Antinori, Brunello di Montalcino Pian delle Vigne,1996,BOTTLE,
v.14318.1997.b,RED,1,Purchase Price: 10,70.0,,Marchesi Antinori, Chianti Classico Riserva Tenute Marchese Antinori,1997,BOTTLE,
v.4103.1997.b,RED,1,Purchase Price: 18,65.0,,Marchesi Antinori, Chianti Classico Riserva Villa Antinori,1997,BOTTLE,
v.225.1994.b,RED,1,Purchase Price: 100,440.0,,Marchesi Antinori, Solaia,1994,BOTTLE,
v.225.1995.b,RED,1,Purchase Price: 140,550.0,,Marchesi Antinori, Solaia,1995,BOTTLE,
v.225.1996.b,RED,1,Purchase Price: 150,500.0,,Marchesi Antinori, Solaia,1996,BOTTLE,
v.225.1997.b,RED,3,Purchase Price: 220,800.0,,Marchesi Antinori, Solaia,1997,BOTTLE,
v.225.1999.b,RED,3,Purchase Price: 200,700.0,,Marchesi Antinori, Solaia,1999,BOTTLE,
v.225.2005.b,RED,1,Purchase Price: 170,550.0,,Marchesi Antinori, Solaia,2005,BOTTLE,
v.225.2007.b,RED,2,Purchase Price: 150,500.0,,Marchesi Antinori, Solaia,2007,BOTTLE,
v.224.1979.b,RED,1,Purchase Price: 90,380.0,,Marchesi Antinori, Tignanello,1979,BOTTLE,
v.224.1980.b,RED,1,Purchase Price: 80,340.0,,Marchesi Antinori, Tignanello,1980,BOTTLE,
v.224.1981.b,RED,1,Purchase Price: 80,330.0,,Marchesi Antinori, Tignanello,1981,BOTTLE,
v.224.1982.b,RED,1,Purchase Price: 76,310.0,,Marchesi Antinori, Tignanello,1982,BOTTLE,
v.224.1983.b,RED,1,Purchase Price: 80,330.0,,Marchesi Antinori, Tignanello,1983,BOTTLE,
v.224.1986.b,RED,1,Purchase Price: 70,280.0,,Marchesi Antinori, Tignanello,1986,BOTTLE,
v.224.1988.b,RED,2,Purchase Price: 65,250.0,,Marchesi Antinori, Tignanello,1988,BOTTLE,
v.224.1990.b,RED,3,Purchase Price: 70,240.0,,Marchesi Antinori, Tignanello,1990,BOTTLE,
v.224.1995.b,RED,6,Purchase Price: 60,250.0,,Marchesi Antinori, Tignanello,1995,BOTTLE,
v.224.1996.b,RED,1,Purchase Price: 60,250.0,,Marchesi Antinori, Tignanello,1996,BOTTLE,
v.224.2005.b,RED,3,Purchase Price: 45,180.0,,Marchesi Antinori, Tignanello,2005,BOTTLE,
v.224.2008.b,RED,1,Purchase Price: 38,160.0,,Marchesi Antinori, Tignanello,2008,BOTTLE,
v.224.2009.b,RED,1,Purchase Price: 40,160.0,,Marchesi Antinori, Tignanello,2009,BOTTLE,
v.6335.2011.b,RED,1,Purchase Price: 25,100.0,,Marchesi di Barolo, Barolo Sarmassa,2011,BOTTLE,
v.5269.2000.b,RED,1,Purchase Price: 38,135.0,,Marchesi di Grésy, Barbaresco Camp Gros Martinenga,2000,BOTTLE,
v.11411.1997.b,RED,1,Purchase Price: 41,165.0,,Marchesi di Grésy, Barbaresco Martinenga,1997,BOTTLE,
v.59599.2001.b,RED,1,Purchase Price: 10,50.0,,Marchesi di Grésy, Barbera d'Asti Monte Colombo,2001,BOTTLE,
v.58339.2003.b,RED,2,Purchase Price: 16,80.0,,Marchesi Pancrazi, Pinot nero Vigna Baragazza,2003,BOTTLE,
v.7180.2014.b,WHITE,3,Purchase Price: 10,46.0,,Marco De Bartoli - Contrada Samperi, Grillo Grappoli del Grillo,2014,BOTTLE,
v.63917.2016.c,WHITE,3,Purchase Price: 18,70.0,,Marco Levis, Pinot grigio,2016,MAGNUM,
v.63917.2016.b,WHITE,2,Purchase Price: 9,40.0,,Marco Levis, Pinot grigio,2016,BOTTLE,
v.63475.2015.b,RED,1,Purchase Price: 12,48.0,,Marco Mosconi, Valpolicella Montecurto,2015,BOTTLE,
v.14701.2012.b,RED,1,Purchase Price: 10,50.0,,Marco Mosconi, Valpolicella Superiore,2012,BOTTLE,
v.14701.2013.b,RED,4,Purchase Price: 12,55.0,,Marco Mosconi, Valpolicella Superiore,2013,BOTTLE,
v.84734.2010.b,WHITE,5,Purchase Price: 14,60.0,,Marie-Thérèse Thill, Saint-Véran,2010,BOTTLE,
v.49028.2014.b,WHITE,2,Purchase Price: 10,45.0,,Marina Coppi, Colli Tortonesi Favorita Marine,2014,BOTTLE,
v.11859.2014.b,WHITE,3,Purchase Price: 14,60.0,,Marina Coppi, Timorasso Fausto,2014,BOTTLE,
v.10871.2015.b,WHITE,3,Purchase Price: 10,42.0,,Marisa Cuomo, Costa d'Amalfi Bianco,2015,BOTTLE,
v.1185.2002.b,WHITE,1,Purchase Price: 33,150.0,,Marisa Cuomo, Costa d'Amalfi Furore Bianco Fiorduva,2002,BOTTLE,
v.5335.2009.b,WHITE,1,Purchase Price: 16,75.0,,Marisa Cuomo, Costa d'Amalfi Furore Bianco,2009,BOTTLE,
v.6438.2000.b,RED,1,Purchase Price: 22,75.0,,Marisa Cuomo, Costa d'Amalfi Furore Rosso Riserva,2000,BOTTLE,
v.6010.2006.b,RED,3,Purchase Price: 18,70.0,,Marjan Simčič, Merlot Opoka,2006,BOTTLE,
v.6096.2013.b,WHITE,2,Purchase Price: 10,40.0,,Marjan Simčič, Rebula / Ribolla,2013,BOTTLE,
v.14305.2003.b,WHITE,2,Purchase Price: 25,85.0,,Marjan Simčič, Sauvignon blanc Riserva,2003,BOTTLE,
v.16163.2014.b,WHITE,1,Purchase Price: 12,55.0,,Markus Molitor, Riesling Kabinett Treppchen Erdener,2014,BOTTLE,
v.33407.1994.b,RED,1,Purchase Price: 40,120.0,,Marqués de Cáceres, Rioja Gaudium,1994,BOTTLE,
v.7099.1998.b,RED,4,Purchase Price: 10,100.0,,Marqués de Cáceres, Rioja,1998,BOTTLE,
v.14212.2013.b,RED,3,Purchase Price: 9,50.0,,Martin Gojer Pranzegg, Campill,2013,BOTTLE,
v.19631.2016.b,RED,1,Purchase Price: 7,45.0,,Martin Gojer Pranzegg, Vino Rosso Leggero,2016,BOTTLE,
v.5237.2000.b,RED,1,Purchase Price: 12,55.0,,Marziano Abbona, Dolcetto di Dogliani Papà Celso,2000,BOTTLE,
v.5237.2001.b,RED,3,Purchase Price: 12,55.0,,Marziano Abbona, Dolcetto di Dogliani Papà Celso,2001,BOTTLE,
v.5237.2004.b,RED,2,Purchase Price: 10,50.0,,Marziano Abbona, Dolcetto di Dogliani Papà Celso,2004,BOTTLE,
v.3702.1986.b,RED,1,Purchase Price: 66,200.0,,Mas de Daumas Gassac, Mas de Daumas Gassac Rouge,1986,BOTTLE,
v.3702.1995.b,RED,1,Purchase Price: 30,110.0,,Mas de Daumas Gassac, Mas de Daumas Gassac Rouge,1995,BOTTLE,
v.3702.2002.b,RED,2,Purchase Price: 30,100.0,,Mas de Daumas Gassac, Mas de Daumas Gassac Rouge,2002,BOTTLE,
v.3702.2008.b,RED,1,Purchase Price: 25,90.0,,Mas de Daumas Gassac, Mas de Daumas Gassac Rouge,2008,BOTTLE,
v.6420.1999.b,RED,1,Purchase Price: 35,110.0,,Mas Martinet, Clos Martinet,1999,BOTTLE,
v.525.2003.b,RED,3,Purchase Price: 10,50.0,,Masari, Masari,2003,BOTTLE,
v.524.2003.b,RED,1,Purchase Price: 10,50.0,,Masari, San Martino,2003,BOTTLE,
v.1178.2013.b,RED,3,Purchase Price: 12,55.0,,Masciarelli - Marina Cvetic, Montepulciano d'Abruzzo Riserva,2013,BOTTLE,
v.13317.1997.b,RED,1,Purchase Price: 10,65.0,,Masciarelli - Marina Cvetic, Montepulciano d'Abruzzo San Martino Rosso,1997,BOTTLE,
v.13317.2006.b,RED,3,Purchase Price: 10,60.0,,Masciarelli - Marina Cvetic, Montepulciano d'Abruzzo San Martino Rosso,2006,BOTTLE,
v.1179.2015.b,WHITE,2,Purchase Price: 10,60.0,,Masciarelli - Marina Cvetic, Trebbiano d'Abruzzo Riserva,2015,BOTTLE,
v.3827.1994.b,RED,1,Purchase Price: 45,180.0,,Masciarelli - Villa Gemma, Montepulciano d'Abruzzo,1994,BOTTLE,
v.3827.1997.b,RED,1,Purchase Price: 38,140.0,,Masciarelli - Villa Gemma, Montepulciano d'Abruzzo,1997,BOTTLE,
v.3827.1998.b,RED,1,Purchase Price: 38,130.0,,Masciarelli - Villa Gemma, Montepulciano d'Abruzzo,1998,BOTTLE,
v.3827.2008.b,RED,1,Purchase Price: 20,85.0,,Masciarelli - Villa Gemma, Montepulciano d'Abruzzo,2008,BOTTLE,
v.6500.1999.b,RED,1,Purchase Price: 15,60.0,,Masi - Serego Alighieri, Valpolicella Classico Superiore MontePiazzo,1999,BOTTLE,
v.4595.1998.b,RED,4,Purchase Price: 56,200.0,,Masi, Amarone della Valpolicella Classico Costasera,1998,BOTTLE,
v.4595.2011.b,RED,1,Purchase Price: 20,80.0,,Masi, Amarone della Valpolicella Classico Costasera,2011,BOTTLE,
v.6496.2009.b,RED,1,Purchase Price: 24,95.0,,Masi, Amarone della Valpolicella Classico Riserva Costasera,2009,BOTTLE,
v.6702.2014.b,RED,2,Purchase Price: 10,45.0,,Masi, Valpolicella Classico Bonacosta,2014,BOTTLE,
v.11232.2015.b,WHITE,2,Purchase Price: 12,55.0,,Masiero, Garganega Lazaro,2015,BOTTLE,
v.42754.2017.b,RED,5,Purchase Price: 10,45.0,,Masiero, Giusto,2017,BOTTLE,
v.5895.2015.b,RED,10,Purchase Price: 11,50.0,,Masiero, Verdugo,2015,BOTTLE,
v.59219.2006.b,RED,6,Purchase Price: 11,50.0,,Maso di Villa, Colli di Conegliano Riserva Nasi Rossi,2006,BOTTLE,
v.59219.2007.b,RED,1,Purchase Price: 11,50.0,,Maso di Villa, Colli di Conegliano Riserva Nasi Rossi,2007,BOTTLE,
v.19979.2012.b,RED,3,Purchase Price: 9,50.0,,Maso Thaler, Pinot nero,2012,BOTTLE,
v.60945.2001.b,RED,3,Purchase Price: 16,75.0,,Massa Vecchia, Alicante Terziere,2001,BOTTLE,
v.31160.1997.b,RED,3,Purchase Price: 20,100.0,,Massa Vecchia, La Fonte di Pietrarsa,1997,BOTTLE,
v.31160.2000.b,RED,7,Purchase Price: 17,80.0,,Massa Vecchia, La Fonte di Pietrarsa,2000,BOTTLE,
v.60946.2008.b,RED,7,Purchase Price: 10,55.0,,Massa Vecchia, Rosso,2008,BOTTLE,
v.31353.2010.b,RED,2,Purchase Price: 7,40.0,,Masserie Pisari, Negroamaro,2010,BOTTLE,
